[7,15]
(0,0)
(14,6)
(0,2,1,1)
(1,1,1,1)
(1,4,1,1)
(1,7,1,1)
(1,10,1,1)
(1,13,1,1)
(2,2,1,1)
(2,5,1,1)
(2,8,1,1)
(2,11,1,1)
(2,14,1,1)
(3,1,1,1)
(3,4,1,1)
(3,7,1,1)
(3,10,1,1)
(3,13,1,1)
(4,2,1,1)
(4,5,1,1)
(4,8,1,1)
(4,11,1,1)
(4,14,1,1)
(5,1,1,1)
(5,4,1,1)
(5,7,1,1)
(5,10,1,1)
(5,13,1,1)
(6,2,1,1)
(6,5,1,1)
(6,8,1,1)
(6,11,1,1)
(6,2,1,1)
(6,5,1,1)
(6,8,1,1)
(6,11,1,1)
(7,1,1,1)
(7,4,1,1)
(7,7,1,1)
(7,10,1,1)
(7,13,1,1)
(8,2,1,1)
(8,5,1,1)
(8,8,1,1)
(8,11,1,1)
(9,1,1,1)
(9,4,1,1)
(9,7,1,1)
(9,10,1,1)
(9,13,1,1)
(10,2,1,1)
(10,5,1,1)
(10,8,1,1)
(10,11,1,1)
(11,1,1,1)
(11,4,1,1)
(11,7,1,1)
(11,10,1,1)
(11,13,1,1)
(12,2,1,1)
(12,5,1,1)
(12,8,1,1)
(12,11,1,1)
(13,1,1,1)
(13,4,1,1)
(13,7,1,1)
(13,10,1,1)
(13,13,1,1)
(14,3,1,1)


